2023-05-15 19:34:41 startup archives install
2023-05-15 19:34:41 install base-passwd:arm64 <none> 3.5.51
2023-05-15 19:34:41 status half-installed base-passwd:arm64 3.5.51
2023-05-15 19:34:42 status unpacked base-passwd:arm64 3.5.51
2023-05-15 19:34:42 configure base-passwd:arm64 3.5.51 3.5.51
2023-05-15 19:34:42 status half-configured base-passwd:arm64 3.5.51
2023-05-15 19:34:42 status installed base-passwd:arm64 3.5.51
2023-05-15 19:34:42 startup archives install
2023-05-15 19:34:42 install base-files:arm64 <none> 11.1+deb11u1
2023-05-15 19:34:42 status half-installed base-files:arm64 11.1+deb11u1
2023-05-15 19:34:42 status unpacked base-files:arm64 11.1+deb11u1
2023-05-15 19:34:42 configure base-files:arm64 11.1+deb11u1 11.1+deb11u1
2023-05-15 19:34:42 status half-configured base-files:arm64 11.1+deb11u1
2023-05-15 19:34:44 status installed base-files:arm64 11.1+deb11u1
2023-05-15 19:34:44 startup archives install
2023-05-15 19:34:44 upgrade dpkg 1.20.9 1.20.9
2023-05-15 19:34:44 status half-configured dpkg 1.20.9
2023-05-15 19:34:44 status unpacked dpkg 1.20.9
2023-05-15 19:34:44 status half-installed dpkg 1.20.9
2023-05-15 19:34:44 status unpacked dpkg:arm64 1.20.9
2023-05-15 19:34:44 configure dpkg:arm64 1.20.9 1.20.9
2023-05-15 19:34:44 status half-configured dpkg:arm64 1.20.9
2023-05-15 19:34:44 status installed dpkg:arm64 1.20.9
2023-05-15 19:34:44 startup archives install
2023-05-15 19:34:45 install libc6:arm64 <none> 2.31-13+deb11u2
2023-05-15 19:34:45 status half-installed libc6:arm64 2.31-13+deb11u2
2023-05-15 19:34:46 status unpacked libc6:arm64 2.31-13+deb11u2
2023-05-15 19:34:46 configure libc6:arm64 2.31-13+deb11u2 2.31-13+deb11u2
2023-05-15 19:34:46 status half-configured libc6:arm64 2.31-13+deb11u2
2023-05-15 19:34:47 status installed libc6:arm64 2.31-13+deb11u2
2023-05-15 19:34:47 startup archives install
2023-05-15 19:34:47 install perl-base:arm64 <none> 5.32.1-4+deb11u2
2023-05-15 19:34:47 status half-installed perl-base:arm64 5.32.1-4+deb11u2
2023-05-15 19:34:48 status unpacked perl-base:arm64 5.32.1-4+deb11u2
2023-05-15 19:34:48 configure perl-base:arm64 5.32.1-4+deb11u2 5.32.1-4+deb11u2
2023-05-15 19:34:48 status half-configured perl-base:arm64 5.32.1-4+deb11u2
2023-05-15 19:34:48 status installed perl-base:arm64 5.32.1-4+deb11u2
2023-05-15 19:34:48 startup archives install
2023-05-15 19:34:48 install mawk:arm64 <none> 1.3.4.20200120-2
2023-05-15 19:34:48 status half-installed mawk:arm64 1.3.4.20200120-2
2023-05-15 19:34:48 status unpacked mawk:arm64 1.3.4.20200120-2
2023-05-15 19:34:49 configure mawk:arm64 1.3.4.20200120-2 1.3.4.20200120-2
2023-05-15 19:34:49 status half-configured mawk:arm64 1.3.4.20200120-2
2023-05-15 19:34:49 status installed mawk:arm64 1.3.4.20200120-2
2023-05-15 19:34:49 startup archives install
